srcip;sport;dstip;dsport;proto;state;dur;sbytes;dbytes;sttl;dttl;sloss;dloss;service;Sload;Dload;Spkts;Dpkts;swin;dwin;stcpb;dtcpb;smeansz;dmeansz;trans_depth;res_bdy_len;Sjit;Djit;Stime;Ltime;Sintpkt;Dintpkt;tcprtt;synack;ackdat;is_sm_ips_ports;ct_state_ttl;ct_flw_http_mthd;is_ftp_login;ct_ftp_cmd;ct_srv_src;ct_srv_dst;ct_dst_ltm;ct_src_ ltm;ct_src_dport_ltm;ct_dst_sport_ltm;ct_dst_src_ltm;attack_cat;label
59.166.0.0;1390;149.171.126.6;53;udp;CON;0.001055;132;164;31;29;0;0;dns;5.004.739.375;6.218.009.375;2;2;0;0;0;0;66;82;0;0;0;0;1421927414;1421927414;0.017;0.013;0;0;0;0;0;0;0;0;3;7;1;3;1;1;1;;0
59.166.0.0;33661;149.171.126.9;1024;udp;CON;0.036133;528;304;31;29;0;0;-;8.767.608.594;5.048.017.188;4;4;0;0;0;0;132;76;0;0;989.101;10.682.733;1421927414;1421927414;7.005;7.564.333;0;0;0;0;0;0;0;0;2;4;2;3;1;1;2;;0
59.166.0.6;1464;149.171.126.7;53;udp;CON;0.001119;146;178;31;29;0;0;dns;5.218.945.313;636.282.375;2;2;0;0;0;0;73;89;0;0;0;0;1421927414;1421927414;0.017;0.013;0;0;0;0;0;0;0;0;12;8;1;2;2;1;1;;0
59.166.0.5;3593;149.171.126.5;53;udp;CON;0.001209;132;164;31;29;0;0;dns;4.367.245.625;5.425.971.875;2;2;0;0;0;0;66;82;0;0;0;0;1421927414;1421927414;0.043;0.014;0;0;0;0;0;0;0;0;6;9;1;1;1;1;1;;0
59.166.0.3;49664;149.171.126.0;53;udp;CON;0.001169;146;178;31;29;0;0;dns;499572.25;6.090.675.625;2;2;0;0;0;0;73;89;0;0;0;0;1421927414;1421927414;0.005;0.003;0;0;0;0;0;0;0;0;7;9;1;1;1;1;1;;0
59.166.0.0;32119;149.171.126.9;111;udp;CON;0.078339;568;312;31;29;0;0;-;4.350.323.438;2.389.614.258;4;4;0;0;0;0;142;78;0;0;29.682.221;3.437.034;1421927414;1421927414;21.003;24.315;0;0;0;0;0;0;0;0;2;4;2;3;1;1;2;;0
59.166.0.6;2142;149.171.126.4;53;udp;CON;0.001134;132;164;31;29;0;0;dns;4.656.084.688;578483.25;2;2;0;0;0;0;66;82;0;0;0;0;1421927414;1421927414;0.017;0.013;0;0;0;0;0;0;0;0;12;7;1;2;2;1;1;;0
10.40.182.3;0;10.40.182.3;0;arp;INT;0;46;0;0;0;0;0;-;0;0;1;0;0;0;0;0;46;0;0;0;0;0;1421927415;1421927415;0;0;0;0;0;1;2;0;0;0;2;2;2;2;2;2;2;;0
59.166.0.5;40726;149.171.126.6;53;udp;CON;0.001126;146;178;31;29;0;0;dns;5.186.500.938;6.323.268.125;2;2;0;0;0;0;73;89;0;0;0;0;1421927415;1421927415;0.018;0.013;0;0;0;0;0;0;0;0;6;7;3;1;1;1;1;;0
59.166.0.7;12660;149.171.126.4;53;udp;CON;0.001167;132;164;31;29;0;0;dns;4.524.421.563;5.621.250.625;2;2;0;0;0;0;66;82;0;0;0;0;1421927415;1421927415;0.018;0.013;0;0;0;0;0;0;0;0;6;7;2;1;1;1;1;;0
10.40.170.2;0;10.40.170.2;0;arp;INT;0;46;0;0;0;0;0;-;0;0;1;0;0;0;0;0;46;0;0;0;0;0;1421927415;1421927415;0;0;0;0;0;1;2;0;0;0;2;2;2;2;2;2;2;;0
10.40.170.2;0;10.40.170.2;0;arp;INT;0;46;0;0;0;0;0;-;0;0;1;0;0;0;0;0;46;0;0;0;0;0;1421927415;1421927415;0;0;0;0;0;1;2;0;0;0;2;2;2;2;2;2;2;;0
10.40.182.3;0;10.40.182.3;0;arp;INT;0;46;0;0;0;0;0;-;0;0;1;0;0;0;0;0;46;0;0;0;0;0;1421927415;1421927415;0;0;0;0;0;1;2;0;0;0;2;2;2;2;2;2;2;;0
59.166.0.1;48847;149.171.126.5;53;udp;CON;0.001093;132;164;31;29;0;0;dns;4.830.740.938;6.001.829.375;2;2;0;0;0;0;66;82;0;0;0;0;1421927415;1421927415;0.018;0.013;0;0;0;0;0;0;0;0;6;9;2;5;1;1;1;;0
59.166.0.1;24266;149.171.126.9;41049;udp;CON;0.001851;528;304;31;29;0;0;-;1711507.25;9.854.133.125;4;4;0;0;0;0;132;76;0;0;0.656903;0.328339;1421927415;1421927415;0.471;0.237667;0;0;0;0;0;0;0;0;8;4;2;5;1;1;2;;0
59.166.0.1;10393;149.171.126.6;44307;udp;CON;0.001749;528;304;31;29;0;0;-;1811320.75;1.042.881.625;4;4;0;0;0;0;132;76;0;0;0.640403;0.280968;1421927415;1421927415;0.458333;0.203667;0;0;0;0;0;0;0;0;8;2;3;5;1;1;2;;0
59.166.0.2;62539;149.171.126.4;53;udp;CON;0.001128;132;164;31;29;0;0;dns;468.085.125;5.815.603.125;2;2;0;0;0;0;66;82;0;0;0;0;1421927415;1421927415;0.017;0.015;0;0;0;0;0;0;0;0;7;7;2;1;1;1;1;;0
59.166.0.1;21270;149.171.126.9;111;udp;CON;0.005153;568;312;31;29;0;0;-;6.613.623.125;3.632.835.313;4;4;0;0;0;0;142;78;0;0;1.890.104;1.610.554;1421927415;1421927415;1.348;1.149.333;0;0;0;0;0;0;0;0;8;4;2;5;2;1;2;;0
59.166.0.1;8989;149.171.126.6;111;udp;CON;0.004898;568;312;31;29;0;0;-;6.957.941.875;3.821.968.125;4;4;0;0;0;0;142;78;0;0;1.780.739;1.549.507;1421927415;1421927415;1.269.667;1.103.667;0;0;0;0;0;0;0;0;8;2;3;5;2;1;2;;0
59.166.0.4;49346;149.171.126.5;53;udp;CON;0.001111;132;164;31;29;0;0;dns;4.752.475.313;5.904.590.625;2;2;0;0;0;0;66;82;0;0;0;0;1421927415;1421927415;0.018;0.013;0;0;0;0;0;0;0;0;5;9;2;1;1;1;1;;0
175.45.176.3;21223;149.171.126.18;32780;udp;INT;0.000021;728;0;254;0;0;0;-;138666672;0;2;0;0;0;0;0;364;0;0;0;0;0;1421927415;1421927415;0.021;0;0;0;0;0;2;0;0;0;1;1;1;1;1;1;1;Exploits;1
175.45.176.2;23357;149.171.126.16;80;tcp;FIN;0.240139;918;25552;62;252;2;10;http;2.805.042.188;8.157.941.875;12;24;255;255;1708297952;1939490744;77;1065;1;12026;1.170.481.668;114.438.336;1421927416;1421927416;21.830.818;9.570.304;0.051475;0.006528;0.044947;0;1;1;0;0;3;2;2;1;1;1;1;Exploits;1
175.45.176.0;13284;149.171.126.16;80;tcp;FIN;239.039;1362;268;254;252;6;1;http;4.233.619.141;749.668.518;14;6;255;255;3897219059;2466816006;97;45;1;0;187.867.114;941.724.938;1421927414;1421927416;183.579.303;474.259.406;0.066088;0.017959;0.048129;0;1;1;0;0;5;2;2;1;1;1;1;Reconnaissance;1
59.166.0.3;4192;149.171.126.9;53;udp;CON;0.001101;132;164;31;29;0;0;dns;4.795.640.313;595822;2;2;0;0;0;0;66;82;0;0;0;0;1421927416;1421927416;0.017;0.012;0;0;0;0;0;0;0;0;7;4;3;1;1;1;1;;0
59.166.0.2;26872;149.171.126.8;53;udp;CON;0.001082;132;164;31;29;0;0;dns;4.879.852.188;6.062.846.875;2;2;0;0;0;0;66;82;0;0;0;0;1421927416;1421927416;0.011;0.009;0;0;0;0;0;0;0;0;7;6;1;1;1;1;1;;0
59.166.0.8;24946;149.171.126.2;53;udp;CON;0.001122;132;164;31;29;0;0;dns;4.705.882.188;5.846.701.875;2;2;0;0;0;0;66;82;0;0;0;0;1421927416;1421927416;0.018;0.014;0;0;0;0;0;0;0;0;8;3;1;2;2;1;1;;0
59.166.0.9;5685;149.171.126.6;53;udp;CON;0.001141;146;178;31;29;0;0;dns;511831.75;6.240.140.625;2;2;0;0;0;0;73;89;0;0;0;0;1421927416;1421927416;0.017;0.015;0;0;0;0;0;0;0;0;5;7;1;1;1;1;1;;0
59.166.0.0;22848;149.171.126.1;53;udp;CON;0.001164;146;178;31;29;0;0;dns;5.017.182.188;6.116.838.125;2;2;0;0;0;0;73;89;0;0;0;0;1421927416;1421927416;0.018;0.013;0;0;0;0;0;0;0;0;3;8;2;1;1;1;1;;0
59.166.0.5;28565;149.171.126.9;53;udp;CON;0.001127;132;164;31;29;0;0;dns;4.685.004.688;5.820.763.125;2;2;0;0;0;0;66;82;0;0;0;0;1421927416;1421927416;0.017;0.015;0;0;0;0;0;0;0;0;6;4;3;1;1;1;1;;0
59.166.0.7;46719;149.171.126.4;53;udp;CON;0.001073;132;164;31;29;0;0;dns;4.920.782.813;611370;2;2;0;0;0;0;66;82;0;0;0;0;1421927416;1421927416;0.011;0.008;0;0;0;0;0;0;0;0;6;7;1;1;1;1;1;;0
59.166.0.8;25100;149.171.126.9;53;udp;CON;0.001196;146;178;31;29;0;0;dns;4.882.943.125;5.953.176.875;2;2;0;0;0;0;73;89;0;0;0;0;1421927416;1421927416;0.017;0.015;0;0;0;0;0;0;0;0;8;4;3;2;2;1;1;;0
59.166.0.1;29704;149.171.126.1;53;udp;CON;0.001101;132;164;31;29;0;0;dns;4.795.640.313;595822;2;2;0;0;0;0;66;82;0;0;0;0;1421927416;1421927416;0.017;0.013;0;0;0;0;0;0;0;0;6;8;2;1;1;1;1;;0
59.166.0.7;36998;149.171.126.6;53;udp;CON;0.001058;146;178;31;29;0;0;dns;551.984.875;672.967.875;2;2;0;0;0;0;73;89;0;0;0;0;1421927417;1421927417;0.017;0.013;0;0;0;0;0;0;0;0;6;7;1;2;2;1;1;;0
59.166.0.7;6438;149.171.126.8;53;udp;CON;0.0011;132;164;31;29;0;0;dns;480000;596.363.625;2;2;0;0;0;0;66;82;0;0;0;0;1421927417;1421927417;0.018;0.013;0;0;0;0;0;0;0;0;6;6;3;2;2;1;1;;0
59.166.0.8;1416;149.171.126.0;53;udp;CON;0.001126;146;178;31;29;0;0;dns;5.186.500.938;6.323.268.125;2;2;0;0;0;0;73;89;0;0;0;0;1421927417;1421927417;0.011;0.008;0;0;0;0;0;0;0;0;8;9;1;1;1;1;1;;0
59.166.0.4;35578;149.171.126.8;53;udp;CON;0.001017;146;178;31;29;0;0;dns;574238;700.098.375;2;2;0;0;0;0;73;89;0;0;0;0;1421927417;1421927417;0.011;0.012;0;0;0;0;0;0;0;0;5;6;3;2;2;1;1;;0
59.166.0.4;38902;149.171.126.7;53;udp;CON;0.001094;132;164;31;29;0;0;dns;4.826.325.625;599.634.375;2;2;0;0;0;0;66;82;0;0;0;0;1421927417;1421927417;0.011;0.009;0;0;0;0;0;0;0;0;5;8;1;2;2;1;1;;0
59.166.0.0;9897;149.171.126.8;53;udp;CON;0.001092;132;164;31;29;0;0;dns;4.835.164.688;6.007.325.625;2;2;0;0;0;0;66;82;0;0;0;0;1421927417;1421927417;0.017;0.012;0;0;0;0;0;0;0;0;3;6;3;1;1;1;1;;0
